,location,date,total_cases,total_deaths
57,Brazil,2020-02-26,1,0
58,Brazil,2020-02-27,1,0
59,Brazil,2020-02-28,1,0
60,Brazil,2020-02-29,1,0
61,Brazil,2020-03-01,2,0
62,Brazil,2020-03-02,2,0
63,Brazil,2020-03-03,2,0
64,Brazil,2020-03-04,2,0
65,Brazil,2020-03-05,3,0
66,Brazil,2020-03-06,8,0
67,Brazil,2020-03-07,13,0
68,Brazil,2020-03-08,13,0
69,Brazil,2020-03-09,25,0
70,Brazil,2020-03-10,25,0
71,Brazil,2020-03-11,34,0
72,Brazil,2020-03-12,52,0
73,Brazil,2020-03-13,77,0
74,Brazil,2020-03-14,98,0
75,Brazil,2020-03-15,121,0
76,Brazil,2020-03-16,200,0
77,Brazil,2020-03-17,234,0
78,Brazil,2020-03-18,291,1
79,Brazil,2020-03-19,428,4
80,Brazil,2020-03-20,621,6
81,Brazil,2020-03-21,904,11
82,Brazil,2020-03-22,1128,18
83,Brazil,2020-03-23,1546,25
84,Brazil,2020-03-24,1891,34
85,Brazil,2020-03-25,2201,46
86,Brazil,2020-03-26,2433,57
87,Brazil,2020-03-27,2915,77
88,Brazil,2020-03-28,3417,92
89,Brazil,2020-03-29,3904,114
90,Brazil,2020-03-30,4256,136
91,Brazil,2020-03-31,4579,159
92,Brazil,2020-04-01,5717,201
93,Brazil,2020-04-02,6836,241
94,Brazil,2020-04-03,7910,299
95,Brazil,2020-04-04,9056,359
96,Brazil,2020-04-05,10278,432
97,Brazil,2020-04-06,11130,486
98,Brazil,2020-04-07,12056,553
99,Brazil,2020-04-08,13717,667
100,Brazil,2020-04-09,15927,800
101,Brazil,2020-04-10,17857,941
102,Brazil,2020-04-11,19638,1056
103,Brazil,2020-04-12,20727,1124
104,Brazil,2020-04-13,22169,1223
105,Brazil,2020-04-14,23430,1328
106,Brazil,2020-04-15,25262,1532
107,Brazil,2020-04-16,28320,1736
108,Brazil,2020-04-17,30425,1924
109,Brazil,2020-04-18,33682,2141
110,Brazil,2020-04-19,36599,2347
111,Brazil,2020-04-20,38654,2462
112,Brazil,2020-04-21,40581,2575
113,Brazil,2020-04-22,43079,2741
114,Brazil,2020-04-23,45757,2906
115,Brazil,2020-04-24,49492,3313
116,Brazil,2020-04-25,52995,3670
117,Brazil,2020-04-26,58509,4016
118,Brazil,2020-04-27,61888,4205
119,Brazil,2020-04-28,66501,4543
120,Brazil,2020-04-29,71886,5017
121,Brazil,2020-04-30,78162,5466
122,Brazil,2020-05-01,85380,5901
123,Brazil,2020-05-02,91589,6329
124,Brazil,2020-05-03,96559,6750
125,Brazil,2020-05-04,101147,7025
126,Brazil,2020-05-05,107780,7321
127,Brazil,2020-05-06,114715,7921
128,Brazil,2020-05-07,125218,8536
129,Brazil,2020-05-08,135106,9146
130,Brazil,2020-05-09,145328,9897
131,Brazil,2020-05-10,155939,10627
132,Brazil,2020-05-11,162699,11123
133,Brazil,2020-05-12,168331,11519
134,Brazil,2020-05-13,177589,12400
135,Brazil,2020-05-14,188974,13149
136,Brazil,2020-05-15,202918,13993
137,Brazil,2020-05-16,218223,14817
138,Brazil,2020-05-17,233142,15633
139,Brazil,2020-05-18,241080,16118
140,Brazil,2020-05-19,254220,16792
141,Brazil,2020-05-20,271628,17971
142,Brazil,2020-05-21,291579,18859
143,Brazil,2020-05-22,310087,20047
144,Brazil,2020-05-23,330890,21048
145,Brazil,2020-05-24,347398,22013
146,Brazil,2020-05-25,363211,22666
147,Brazil,2020-05-26,374898,23473
148,Brazil,2020-05-27,391222,24512
149,Brazil,2020-05-28,411821,25598
150,Brazil,2020-05-29,438238,26754
151,Brazil,2020-05-30,465166,27878
152,Brazil,2020-05-31,498440,28834
153,Brazil,2020-06-01,514849,29314
154,Brazil,2020-06-02,526447,29937
155,Brazil,2020-06-03,555383,31199
156,Brazil,2020-06-04,584016,32548
157,China,2019-12-31,27,0
158,China,2020-01-01,27,0
159,China,2020-01-02,27,0
160,China,2020-01-03,44,0
161,China,2020-01-04,44,0
162,China,2020-01-05,59,0
163,China,2020-01-06,59,0
164,China,2020-01-07,59,0
165,China,2020-01-08,59,0
166,China,2020-01-09,59,0
167,China,2020-01-10,59,0
168,China,2020-01-11,59,1
169,China,2020-01-12,59,1
170,China,2020-01-13,59,1
171,China,2020-01-14,59,1
172,China,2020-01-15,59,2
173,China,2020-01-16,59,2
174,China,2020-01-17,63,2
175,China,2020-01-18,80,2
176,China,2020-01-19,216,3
177,China,2020-01-20,235,3
178,China,2020-01-21,386,6
179,China,2020-01-22,526,17
180,China,2020-01-23,623,17
181,China,2020-01-24,882,26
182,China,2020-01-25,1323,41
183,China,2020-01-26,1988,56
184,China,2020-01-27,2775,81
185,China,2020-01-28,4528,106
186,China,2020-01-29,5994,132
187,China,2020-01-30,7734,170
188,China,2020-01-31,9714,213
189,China,2020-02-01,11809,259
190,China,2020-02-02,14399,304
191,China,2020-02-03,17211,361
192,China,2020-02-04,20448,426
193,China,2020-02-05,24320,492
194,China,2020-02-06,28047,564
195,China,2020-02-07,31207,637
196,China,2020-02-08,34625,723
197,China,2020-02-09,37232,812
198,China,2020-02-10,40206,909
199,China,2020-02-11,42696,1017
200,China,2020-02-12,44724,1114
201,China,2020-02-13,59865,1368
202,China,2020-02-14,64021,1381
203,China,2020-02-15,66559,1524
204,China,2020-02-16,68566,1666
205,China,2020-02-17,70618,1771
206,China,2020-02-18,72508,1869
207,China,2020-02-19,74258,2008
208,China,2020-02-20,74652,2120
209,China,2020-02-21,75543,2238
210,China,2020-02-22,76369,2347
211,China,2020-02-23,77016,2445
212,China,2020-02-24,77234,2595
213,China,2020-02-25,77749,2665
214,China,2020-02-26,78159,2717
215,China,2020-02-27,78598,2746
216,China,2020-02-28,78927,2790
217,China,2020-02-29,79355,2837
218,China,2020-03-01,79929,2872
219,China,2020-03-02,80134,2914
220,China,2020-03-03,80261,2946
221,China,2020-03-04,80380,2983
222,China,2020-03-05,80497,3014
223,China,2020-03-06,80667,3044
224,China,2020-03-07,80768,3072
225,China,2020-03-08,80814,3099
226,China,2020-03-09,80859,3122
227,China,2020-03-10,80879,3139
228,China,2020-03-11,80908,3161
229,China,2020-03-12,80932,3172
230,China,2020-03-13,80954,3179
231,China,2020-03-14,80973,3194
232,China,2020-03-15,80995,3203
233,China,2020-03-16,81020,3216
234,China,2020-03-17,81063,3225
235,China,2020-03-18,81086,3241
236,China,2020-03-19,81130,3249
237,China,2020-03-20,81229,3253
238,China,2020-03-21,81281,3259
239,China,2020-03-22,81346,3265
240,China,2020-03-23,81484,3274
241,China,2020-03-24,81553,3281
242,China,2020-03-25,81631,3285
243,China,2020-03-26,81733,3291
244,China,2020-03-27,81827,3296
245,China,2020-03-28,81946,3299
246,China,2020-03-29,82059,3304
247,China,2020-03-30,82157,3306
248,China,2020-03-31,82241,3309
249,China,2020-04-01,82295,3310
250,China,2020-04-02,82395,3316
251,China,2020-04-03,82465,3326
252,China,2020-04-04,82527,3330
253,China,2020-04-05,82575,3333
254,China,2020-04-06,82642,3335
255,China,2020-04-07,82698,3335
256,China,2020-04-08,82784,3337
257,China,2020-04-09,82870,3339
258,China,2020-04-10,82925,3340
259,China,2020-04-11,83004,3343
260,China,2020-04-12,83097,3343
261,China,2020-04-13,83209,3345
262,China,2020-04-14,83303,3345
263,China,2020-04-15,83352,3346
264,China,2020-04-16,83402,3346
265,China,2020-04-17,83754,4636
266,China,2020-04-18,83785,4636
267,China,2020-04-19,83803,4636
268,China,2020-04-20,83817,4636
269,China,2020-04-21,83849,4636
270,China,2020-04-22,83864,4636
271,China,2020-04-23,83876,4636
272,China,2020-04-24,83884,4636
273,China,2020-04-25,83899,4636
274,China,2020-04-26,83909,4636
275,China,2020-04-27,83912,4637
276,China,2020-04-28,83938,4637
277,China,2020-04-29,83940,4637
278,China,2020-04-30,83944,4637
279,China,2020-05-01,83956,4637
280,China,2020-05-02,83959,4637
281,China,2020-05-03,83961,4637
282,China,2020-05-04,83964,4637
283,China,2020-05-05,83966,4637
284,China,2020-05-06,83968,4637
285,China,2020-05-07,83970,4637
286,China,2020-05-08,83976,4637
287,China,2020-05-09,83976,4637
288,China,2020-05-10,83991,4637
289,China,2020-05-11,84010,4637
290,China,2020-05-12,84011,4637
291,China,2020-05-13,84018,4637
292,China,2020-05-14,84024,4637
293,China,2020-05-15,84029,4637
294,China,2020-05-16,84038,4637
295,China,2020-05-17,84044,4638
296,China,2020-05-18,84054,4638
297,China,2020-05-19,84063,4638
298,China,2020-05-20,84065,4638
299,China,2020-05-21,84067,4638
300,China,2020-05-22,84079,4638
301,China,2020-05-23,84081,4638
302,China,2020-05-24,84084,4638
303,China,2020-05-25,84095,4638
304,China,2020-05-26,84102,4638
305,China,2020-05-27,84103,4638
306,China,2020-05-28,84106,4638
307,China,2020-05-29,84106,4638
308,China,2020-05-30,84123,4638
309,China,2020-05-31,84128,4638
310,China,2020-06-01,84147,4638
311,China,2020-06-02,84154,4638
312,China,2020-06-03,84159,4638
313,China,2020-06-04,84160,4638
345,Italy,2020-01-31,3,0
346,Italy,2020-02-01,3,0
347,Italy,2020-02-02,3,0
348,Italy,2020-02-03,3,0
349,Italy,2020-02-04,3,0
350,Italy,2020-02-05,3,0
351,Italy,2020-02-06,3,0
352,Italy,2020-02-07,3,0
353,Italy,2020-02-08,3,0
354,Italy,2020-02-09,3,0
355,Italy,2020-02-10,3,0
356,Italy,2020-02-11,3,0
357,Italy,2020-02-12,3,0
358,Italy,2020-02-13,3,0
359,Italy,2020-02-14,3,0
360,Italy,2020-02-15,3,0
361,Italy,2020-02-16,3,0
362,Italy,2020-02-17,3,0
363,Italy,2020-02-18,3,0
364,Italy,2020-02-19,3,0
365,Italy,2020-02-20,3,0
366,Italy,2020-02-21,3,0
367,Italy,2020-02-22,17,0
368,Italy,2020-02-23,79,2
369,Italy,2020-02-24,132,2
370,Italy,2020-02-25,229,6
371,Italy,2020-02-26,322,11
